id,operational_order_id,produto,quantidade,unidade,created_at,lote,valor_unitario
6f7a9c62-6d49-4677-9a9b-e6b058873a6b,b2bedcde-5b5f-4090-b4ae-40b575239247,CD_MORDIDA_LEGUMES_180G,1,un,2026-03-10 13:43:05.671929+00,s,
aa68aca9-9d62-4743-8fe4-458ce8cce76e,b2bedcde-5b5f-4090-b4ae-40b575239247,CD_CAIXA_SEEDING,1,un,2026-03-10 13:43:05.671929+00,s,
14728333-7ba3-4915-92ec-bb8d494b1fdb,b2bedcde-5b5f-4090-b4ae-40b575239247,CD_INFOGRAFICO,1,un,2026-03-10 13:43:05.671929+00,s,
ebb2cf83-5418-407c-bc92-3593e0efdcb4,b2bedcde-5b5f-4090-b4ae-40b575239247,CD_ADESIVO,1,un,2026-03-10 13:43:05.671929+00,s,
aa6d151d-7ea9-4bd2-98b7-a1ccfc6b0b64,7947ba86-1684-4401-a6cc-c45c891f12b2,CD_ORIGINAL_90G,15,un,2026-03-10 16:44:11.752866+00,ROCK012026,28.00
7fceaa54-8a25-4aff-9ac0-0a51b2350761,160dc265-8090-4009-83ca-7402774e50d0,CD_SUPLEMENTO_INTEGRAL_180G,1,un,2026-03-12 14:18:08.427588+00,SIC013,
3f29d66c-21ea-430d-93a3-8b2460b816ec,d5049ace-e325-4683-b5a3-42fd27b9fcd1,CD_ORIGINAL_90G,5,un,2026-03-12 15:17:49.178002+00,ROCK012026,27.00
9b7ea003-55c2-4bb3-9b9a-6f90e18ce9c1,d5049ace-e325-4683-b5a3-42fd27b9fcd1,CD_MORDIDA_LEGUMES_180G,5,un,2026-03-12 15:17:49.178002+00,01071,27.00
f168f5e0-46c5-4105-8ee6-4efac961ce85,d5049ace-e325-4683-b5a3-42fd27b9fcd1,CD_MORDIDA_SPIRULINA_180G,5,un,2026-03-12 15:17:49.178002+00,02070,27.00
e23c5256-06a9-44e6-894a-4c6a697b4f62,dde10c34-fbb8-4c7c-a8eb-43199f65553f,CD_ORIGINAL_90G,15,un,2026-03-12 23:28:03.053562+00,ROCK012026,26.66
072f8caa-9d46-47c8-99e4-989c320d2932,04449bc7-bb76-4548-9e3d-5d105ab238c2,CD_SUPLEMENTO_INTEGRAL_180G,3,un,2026-03-12 23:33:59.027348+00,SIC011,73.60
af72e632-f644-4a8d-a8d1-9dc1805f8ffd,04449bc7-bb76-4548-9e3d-5d105ab238c2,CD_SUPLEMENTO_CONCENTRADO_200G,3,un,2026-03-12 23:33:59.027348+00,SCC011,73.60
9e752ca0-8ecf-4979-a590-c452003ee45b,6b28ef14-de10-4ea5-b36b-099c1aa3a4cb,CD_AMOSTRA_GATOS,1,un,2026-03-05 18:07:50.667104+00,,
